Batch number,dataset_10,dataset_20,dataset_40,dataset_75,dataset_100,base antigen,l1 loss,naive,diff no reg,diff reg
89,,,,8.475,7.935,7.616,7.872,7.805,7.58,7.817
90,,,,9.055,8.271,8.172,8.332,8.341,8.396,8.45
91,,,,7.862,7.938,8.042,8.512,8.167,8.313,8.288
92,,,,8.315,8.156,7.533,7.934,7.758,7.702,7.656
93,,,,7.928,8.026,7.573,8.027,8.024,7.813,7.881
94,,,,8.563,7.729,7.965,8.258,8.033,7.975,7.893
95,,,,8.356,8.186,8.709,8.857,9.09,9.274,8.801
96,,,,8.238,7.991,8.801,8.876,8.725,9.313,8.626
97,,,,8.076,8.296,7.83,8.033,7.836,8.019,7.82
98,,,,8.282,7.572,8.131,8.495,8.581,8.488,8.376
99,,,,8.57,7.586,8.261,8.223,8.465,8.492,9.058
100,,,,9.07,7.626,7.077,7.227,7.218,7.275,7.71
101,,,,,8.622,7.07,7.25,7.339,7.299,7.16
102,,,,,7.724,7.686,7.964,8.115,8.008,8.131
103,,,,,7.71,7.804,8.133,8.19,8.027,8.101
104,,,,,7.914,6.976,7.211,7.153,7.013,7.045
105,,,,,7.734,7.811,7.969,7.946,8.013,8.01
106,,,,,7.356,7.344,7.774,7.565,7.497,7.547
107,,,,,7.768,7.795,7.866,8.024,7.805,7.903
108,,,,,7.989,7.802,7.687,7.736,7.651,7.683
109,,,,,7.986,7.107,7.391,7.352,7.446,7.364
110,,,,,7.846,6.51,6.869,6.787,6.66,6.84
111,,,,,7.675,7.737,8.06,7.905,7.843,7.777
112,,,,,7.155,7.159,7.379,7.398,7.262,7.274
113,,,,,7.642,7.667,8.013,8.022,7.978,7.952
114,,,,,7.455,7.85,8.116,7.742,8.469,7.807
115,,,,,7.05,7.492,7.75,7.79,7.697,7.45
116,,,,,7.049,7.478,7.699,7.743,7.622,7.652
117,,,,,7.233,7.749,8.204,8.016,7.824,7.824
118,,,,,7.865,7.268,7.525,7.626,7.553,7.325
119,,,,,7.48,7.233,7.352,7.497,7.423,7.31
120,,,,,7.608,7.236,7.486,7.425,7.461,7.384
121,,,,,,,6.802,6.861,6.997,6.957
122,,,,,,,7.497,7.49,7.577,7.48
123,,,,,,,7.169,7.517,7.224,7.314
124,,,,,,,7.125,7.479,7.337,7.405
125,,,,,,,7.683,7.922,7.715,7.669
126,,,,,,,6.854,7.216,7.014,7.02
127,,,,,,,7.561,7.672,7.633,7.532
128,,,,,,,7.251,7.588,7.402,7.337
129,,,,,,,7.705,8.344,7.663,7.93
130,,,,,,,7.594,8.006,7.507,7.854
